name,address,lat,lng,wifi,allHours,drive,hundred,morning,barista,birthday,playRand,adventure,parking
五福アリス店,富山県富山市五福字善尋１１４３－１,36.695579708,137.192307428,0,0,0,0,0,0,0,0,0,1
富山空港通り店,富山県富山市布瀬町南２－１０－２,36.6757716924,137.202095952,1,0,1,0,1,0,0,0,0,1
フューチャーシティファボーレ店,富山県富山市婦中町下轡田１６５－１,36.6627862874,137.170910332,1,0,0,0,0,0,0,0,0,1
滑川パスタ店,富山県滑川市上小泉１２６３,36.7597864871,137.356552862,1,1,1,0,1,0,0,0,0,1
４１号荒川店,富山県富山市荒川２－１５－３５,36.6964034835,137.245990145,1,1,1,0,1,0,0,0,0,1
イオンモール高岡店,富山県高岡市下伏間江３８３,36.7235036747,137.016759385,0,0,0,1,0,0,0,0,0,1
１６０氷見店,富山県氷見市窪７２６－１,36.8399360737,136.986226965,1,0,1,0,1,0,0,0,0,1
４１号大沢野店,富山県富山市上大久保１３５９－１,36.5953357572,137.20399755,0,0,1,0,1,0,0,0,1,1
１５６砺波店,富山県砺波市となみ町１－１８,36.6373807807,136.958668179,1,0,1,0,1,0,0,0,0,1
大島イータウン前店,富山県射水市本開発７１２－３,36.7295724347,137.083022993,1,0,1,0,1,0,0,0,0,1
１５６戸出店,富山県高岡市戸出伊勢領２４８９－６,36.6892255146,136.976664838,1,0,1,0,1,0,0,0,1,1
８号線田尻店,富山県富山市田尻南１００,36.7338681299,137.206032205,0,0,1,0,1,0,0,0,0,1
８号線六家店,富山県高岡市六家字弥三郎島１７０１－１,36.7384320371,136.976585975,1,0,1,0,1,0,0,0,0,1
高岡中曽根店,富山県高岡市中曾根２２３２,36.7697874526,137.081129636,0,0,1,0,1,0,1,0,1,1
１５０黒部店,富山県黒部市前沢字北９３０－１,36.861272029,137.445197927,1,0,1,0,1,0,0,0,0,1
高岡駅南店,富山県高岡市駅南２－２０３－１,36.7390542274,137.021919984,1,1,1,0,1,0,0,0,0,1
魚津店,富山県魚津市相木字池田１０１１,36.8213796987,137.41280905,1,0,1,0,1,1,0,0,0,1
金沢片町店,石川県金沢市片町１－３－１８,36.5610566552,136.653509605,0,0,0,1,1,0,0,0,0,0
金沢新神田店,石川県金沢市新神田４－１－３５,36.5625792411,136.630685464,1,0,1,1,1,0,0,0,0,1
野々市店,石川県野々市市本町６－２４－１０,36.5332940515,136.609715674,1,1,1,1,1,0,0,1,1,1
金沢元町店,石川県金沢市元町２－５－１,36.5794409141,136.664538195,1,0,1,0,1,0,0,0,0,1
８号線北町店,石川県金沢市二ツ屋町１０－８,36.5888455811,136.628176621,1,0,1,0,1,0,0,0,0,1
松任アピタ店,石川県白山市幸明町２８０,36.5162666062,136.577467803,0,0,0,0,0,0,0,0,0,1
イオン松任店,石川県白山市平松町１０２,36.5082905656,136.565558889,1,0,0,0,0,0,0,0,0,1
イオン小松店,石川県小松市平面町ア６９,36.4193193639,136.471915601,1,0,0,0,0,0,0,0,0,0
加賀アビオシティ店,石川県加賀市作見町ル２５－１,36.3198248448,136.351938913,1,0,0,0,0,0,0,0,0,1
まっとう車遊館店,石川県白山市徳光町２３９８－１,36.5342435831,136.52856174,1,0,0,0,0,0,0,0,0,1
鹿島アルプラザ店,石川県鹿島郡中能登町井田と１－１,36.9703919594,136.906610845,0,0,1,0,1,0,0,0,0,1
イオン御経塚店,石川県野々市市御経塚２－９１,36.5482092657,136.598454158,1,0,0,1,0,0,0,0,0,1
